date,value_A,value_AG,value_AL,value_AO,value_AP,value_AU,value_B,value_BC,value_BR,value_BU,value_C,value_CF,value_CJ,value_CS,value_CU,value_EB,value_EC,value_EG,value_FG,value_FU,value_HC,value_I,value_J,value_JD,value_JM,value_L,value_LC,value_LG,value_LH,value_LU,value_M,value_MA,value_NI,value_NR,value_OI,value_P,value_PF,value_PG,value_PK,value_PP,value_PR,value_PS,value_PX,value_RB,value_RM,value_RU,value_SA,value_SF,value_SH,value_SI,value_SM,value_SN,value_SP,value_SR,value_SS,value_TA,value_UR,value_V,value_Y,value_ZN
2025-02-11,192292.80023498257,191332.558852392,196378.8655943878,215980.41806589297,203678.07056851708,184507.239199298,206635.13532793676,191677.6701467365,207239.2146669662,212197.56315131253,201909.37815941827,184023.5044112417,205599.5113911244,193737.50837966465,190217.5528948811,193683.24645123325,313852.0311016179,204683.137166454,222774.02027156416,210410.29952489675,209710.700535644,219880.92972094836,226814.12926832476,203954.6028037296,201303.47698410487,200200.4696943612,152764.3586905654,199730.108,217064.95143796984,213266.91382073588,201694.58027907,204704.5391769463,188310.09468272605,196057.42278223287,210153.56396469596,222088.2357579054,196668.5100060497,194525.03046970876,195491.9159290141,201365.3672590725,198556.70388214407,201553.02485788663,190137.89376527848,219094.2595028793,195067.30069201745,213569.1024350291,179186.54907296467,190246.9124877872,211866.2870025932,205816.6383125159,189535.8913823417,201860.141988096,181760.19803966425,192555.4945219939,186709.75609380344,191581.7014924572,185637.08967029405,193215.1837651007,203657.19700679524,221544.3476886958
2025-02-12,192561.0416252116,191332.558852392,196378.8655943878,215980.41806589297,205187.64628185905,184507.239199298,206635.13532793676,190896.4054895274,207239.2146669662,212197.56315131253,201909.37815941827,184437.29904824405,205599.5113911244,193737.50837966465,190217.5528948811,193683.24645123325,316742.83082755026,204683.137166454,222774.02027156416,209451.0176704641,209325.7457981737,219880.92972094836,227787.10285948505,203954.6028037296,202006.61888581663,200200.4696943612,152764.3586905654,199730.108,217064.95143796984,213266.91382073588,201694.58027907,204704.5391769463,188038.74776654955,196057.42278223287,210153.56396469596,222088.2357579054,196509.22431842049,194525.03046970876,195491.9159290141,201365.3672590725,198556.70388214407,201553.02485788663,190137.89376527848,219320.1149807554,195067.30069201745,213569.1024350291,179186.54907296467,190246.9124877872,213693.81160091964,205816.6383125159,183260.0939314289,201860.141988096,181760.19803966425,192555.4945219939,186757.22308913013,191581.7014924572,185637.08967029405,193215.1837651007,203657.19700679524,221544.3476886958
2025-02-13,192561.0416252116,191332.558852392,196378.8655943878,217307.20924320823,207492.53980765317,184507.239199298,206635.13532793676,190896.4054895274,207239.2146669662,212197.56315131253,200492.5317784658,183332.4342590168,205599.5113911244,191950.17922357385,190217.5528948811,193683.24645123325,316742.83082755026,204683.137166454,222774.02027156416,201714.1717831944,209325.7457981737,219880.92972094836,227787.10285948505,203954.6028037296,202006.61888581663,198406.27431327244,152764.3586905654,199730.108,217064.95143796984,206597.95802083623,201684.5797799588,204704.5391769463,188934.19661286625,196057.42278223287,210153.56396469596,222434.5950121893,193451.91745413755,194525.03046970876,194504.2658405185,201365.3672590725,198556.70388214407,201553.02485788663,190137.89376527848,219320.1149807554,195067.30069201745,213569.1024350291,179186.54907296467,190246.9124877872,213693.81160091964,205816.6383125159,184073.59569925533,201860.141988096,181760.19803966425,192555.4945219939,184197.2339795296,191581.7014924572,185637.08967029405,193215.1837651007,203657.19700679524,221544.3476886958
2025-02-14,192561.0416252116,191332.558852392,196378.8655943878,217307.20924320823,207492.53980765317,184507.239199298,206545.8762814117,190896.4054895274,207239.2146669662,212197.56315131253,201366.45162767216,183594.58317002383,205599.5113911244,193070.38126369775,190217.5528948811,193683.24645123325,316742.83082755026,204683.137166454,222194.62001981592,201494.3143581369,209325.7457981737,219880.92972094836,228155.8326937391,203954.6028037296,202019.0724606372,198922.9421986593,152764.3586905654,199730.108,217064.95143796984,207946.0525214384,201684.5797799588,204615.9209327992,188934.19661286625,196057.42278223287,210153.56396469596,220145.44379354647,193881.11630239268,194525.03046970876,192967.343650253,201365.3672590725,198556.70388214407,201553.02485788663,190137.89376527848,219320.1149807554,195067.30069201745,213569.1024350291,179186.54907296467,190246.9124877872,216730.01590217504,205816.6383125159,184073.59569925533,201860.141988096,181760.19803966425,192555.4945219939,184197.2339795296,191581.7014924572,185637.08967029405,193215.1837651007,203383.40503982804,221544.3476886958
2025-02-17,192561.0416252116,187527.5961208986,195542.54687162384,217307.20924320823,207492.53980765317,174836.59497262095,206545.8762814117,186686.6891579379,207239.2146669662,212211.21478058383,201366.45162767216,183594.58317002383,205599.5113911244,193070.38126369775,186312.87481603495,193683.24645123325,344778.9966743009,204683.137166454,223762.5255303055,203511.3862918441,209325.7457981737,219880.92972094836,230042.08750036883,203954.6028037296,202682.33916411587,198922.9421986593,152764.3586905654,199730.108,217064.95143796984,207946.0525214384,201684.5797799588,205136.2445699229,188934.19661286625,196057.42278223287,210153.56396469596,220145.44379354647,193881.11630239268,194525.03046970876,192967.343650253,201365.3672590725,198556.70388214407,201553.02485788663,190137.89376527848,219320.1149807554,195067.30069201745,213569.1024350291,179186.54907296467,190246.9124877872,216730.01590217504,206584.71643189105,184073.59569925533,201860.141988096,181760.19803966425,192555.4945219939,184197.2339795296,191581.7014924572,186143.82852775624,193215.1837651007,203383.40503982804,218602.98590928185
2025-02-18,192561.0416252116,186062.4975936209,195352.42248314063,217307.20924320823,207492.53980765317,174836.59497262095,206545.8762814117,186998.30698302967,207239.2146669662,211693.98675920776,201366.45162767216,184497.48653067963,205599.5113911244,193070.38126369775,187109.1200325621,193683.24645123325,344778.9966743009,204683.137166454,223762.5255303055,203923.3060737532,209325.7457981737,219880.92972094836,230042.08750036883,203954.6028037296,204124.43936952724,198922.9421986593,152764.3586905654,199730.108,217064.95143796984,207946.0525214384,201684.5797799588,205136.2445699229,188934.19661286625,196057.42278223287,210153.56396469596,220145.44379354647,193881.11630239268,194868.39732892957,192967.343650253,201365.3672590725,198556.70388214407,201553.02485788663,190137.89376527848,219320.1149807554,195067.30069201745,213569.1024350291,180395.5489026884,190246.9124877872,216730.01590217504,206643.0519924404,184073.59569925533,201860.141988096,181760.19803966425,192815.2894244248,184197.2339795296,191581.7014924572,186143.82852775624,193215.1837651007,203383.40503982804,218602.98590928185
2025-02-19,192561.0416252116,187716.9487359524,195352.42248314063,217307.20924320823,207492.53980765317,177434.41349813907,206545.8762814117,186998.30698302967,205775.4832759509,211693.98675920776,201366.45162767216,184944.73890772884,205599.5113911244,193070.38126369775,187109.1200325621,193683.24645123325,344778.9966743009,204683.137166454,223762.5255303055,203923.3060737532,209847.9621132095,219880.92972094836,230042.08750036883,204382.2099286418,204124.43936952724,198922.9421986593,152764.3586905654,199730.108,217064.95143796984,207946.0525214384,201684.5797799588,205136.2445699229,188934.19661286625,196057.42278223287,210153.56396469596,220145.44379354647,193881.11630239268,194868.39732892957,192967.343650253,201365.3672590725,198556.70388214407,201553.02485788663,190137.89376527848,219851.5266596429,195067.30069201745,213569.1024350291,180395.5489026884,190246.9124877872,216730.01590217504,206643.0519924404,184073.59569925533,201860.141988096,181760.19803966425,192815.2894244248,184197.2339795296,191581.7014924572,186143.82852775624,193215.1837651007,203383.40503982804,218602.98590928185
2025-02-20,192561.0416252116,187716.9487359524,195352.42248314063,217307.20924320823,207492.53980765317,176675.82992407007,206966.00586211248,186998.30698302967,206632.0124726775,211693.98675920776,201366.45162767216,184944.73890772884,205599.5113911244,193070.38126369775,187109.1200325621,193683.24645123325,344778.9966743009,204683.137166454,223762.5255303055,204745.55511303057,209825.43024447447,220354.58878601465,230042.08750036883,204382.2099286418,204124.43936952724,198922.9421986593,152764.3586905654,199730.108,217064.95143796984,207144.3591087862,201684.5797799588,205136.2445699229,188934.19661286625,196057.42278223287,210153.56396469596,222005.73613898852,193881.11630239268,194868.39732892957,194082.83028742115,201365.3672590725,198556.70388214407,201553.02485788663,190137.89376527848,220076.54885812584,196587.3320888428,213569.1024350291,180395.5489026884,190246.9124877872,216730.01590217504,206643.0519924404,184073.59569925533,201860.141988096,181760.19803966425,192815.2894244248,184197.2339795296,191581.7014924572,186143.82852775624,193215.1837651007,203383.40503982804,218602.98590928185
2025-02-21,192371.38242377227,187716.9487359524,195352.42248314063,215262.1178577093,207492.53980765317,176675.82992407007,206729.11235263516,186998.30698302967,206632.0124726775,212251.24933383975,201508.0153181484,184944.73890772884,205599.5113911244,191573.66068717348,187109.1200325621,193683.24645123325,344778.9966743009,204683.137166454,223762.5255303055,204745.55511303057,210123.0058864793,220826.0945977645,231589.35755561735,204382.2099286418,205519.6951265675,198579.9267651758,152764.3586905654,199730.108,217064.95143796984,207736.77671087263,200982.465675444,205136.2445699229,189574.86315466932,196057.42278223287,210039.5463351143,221897.0570300098,193881.11630239268,194868.39732892957,194082.83028742115,201365.3672590725,198556.70388214407,202058.75921082785,190137.89376527848,220320.4668922599,196542.9831047158,213569.1024350291,180395.5489026884,190246.9124877872,216730.01590217504,206643.0519924404,184073.59569925533,201860.141988096,181760.19803966425,192815.2894244248,182940.69605866453,191581.7014924572,186143.82852775624,193215.1837651007,203945.40410589403,218602.98590928185
2025-02-24,193871.81202316348,187716.9487359524,195352.42248314063,213382.65326330863,207492.53980765317,176675.82992407007,207894.6569821584,186998.30698302967,206632.0124726775,212251.24933383975,201558.00700068803,184944.73890772884,205599.5113911244,192498.31156402093,187109.1200325621,193683.24645123325,344778.9966743009,204683.137166454,223762.5255303055,204745.55511303057,207902.13365974903,220826.0945977645,222117.7426384904,204382.2099286418,205519.6951265675,199036.7020324702,152764.3586905654,199730.108,217064.95143796984,206936.5587077876,202330.08783825947,205136.2445699229,189574.86315466932,196057.42278223287,210712.0579199343,218366.562592724,193722.7478068228,194868.39732892957,194082.83028742115,201365.3672590725,198556.70388214407,202564.7164601771,190137.89376527848,219299.17270894765,198528.7042158268,213569.1024350291,180395.5489026884,190246.9124877872,216730.01590217504,206643.0519924404,184073.59569925533,199551.7792696053,181760.19803966425,192815.2894244248,183204.4503014747,191581.7014924572,186143.82852775624,193215.1837651007,203945.40410589403,218602.98590928185
2025-02-25,194394.7619225709,187716.9487359524,195568.98340447093,213708.6375705592,207492.53980765317,176675.82992407007,207894.6569821584,186998.30698302967,206475.0210422024,212751.8641365348,201558.00700068803,184944.73890772884,205599.5113911244,192052.54265761704,187109.1200325621,193768.9927220472,348488.5225162932,204683.137166454,223762.5255303055,204528.2268827348,207902.13365974903,220826.0945977645,222117.7426384904,204382.2099286418,205519.6951265675,199036.7020324702,152764.3586905654,199730.108,217064.95143796984,208369.34404102105,202330.08783825947,205136.2445699229,189574.86315466932,196057.42278223287,210712.0579199343,218366.562592724,194152.39349223507,194868.39732892957,194082.83028742115,201470.1635590724,198556.70388214407,202564.7164601771,190911.12356821352,219299.17270894765,198528.7042158268,213569.1024350291,180395.5489026884,190246.9124877872,216730.01590217504,206643.0519924404,184073.59569925533,198687.2075937192,181760.19803966425,192815.2894244248,183204.4503014747,192712.73115376977,186143.82852775624,193215.1837651007,203945.40410589403,218602.98590928185
2025-02-26,192564.1538895533,187832.5195408935,195188.93339842808,213708.6375705592,207492.53980765317,176675.82992407007,207722.3360171957,186998.30698302967,206475.0210422024,213828.8207571905,201058.3100800531,184944.73890772884,205599.5113911244,191768.29263563905,187109.1200325621,193768.9927220472,348488.5225162932,204994.4746816497,225663.68776806767,204528.2268827348,206144.64789841272,222858.73739624835,224509.9065058939,204382.2099286418,207116.1483833317,199036.7020324702,152764.3586905654,200851.337,217064.95143796984,208441.61587501288,202214.606232856,205136.2445699229,189574.86315466932,196057.42278223287,210712.0579199343,218366.562592724,194152.39349223507,195152.5077597851,194082.83028742115,201888.0120715724,198556.70388214407,202564.7164601771,190911.12356821352,216072.82518555957,198528.7042158268,213569.1024350291,180395.5489026884,190246.9124877872,216730.01590217504,206643.0519924404,184073.59569925533,198687.2075937192,181760.19803966425,192815.2894244248,182543.20256000492,192712.73115376977,186143.82852775624,193215.1837651007,203945.40410589403,218602.98590928185
2025-02-27,192564.1538895533,187832.5195408935,195188.93339842808,213708.6375705592,207492.53980765317,176675.82992407007,204151.97415619623,186998.30698302967,206475.0210422024,214316.324754132,201108.30176259272,184944.73890772884,205599.5113911244,192209.5475897884,187109.1200325621,193796.87869372588,343810.5863655972,204694.99109302828,225663.68776806767,204528.2268827348,206526.92690079944,224325.47122442268,221813.71998655683,204382.2099286418,207116.1483833317,199036.7020324702,152764.3586905654,200399.762,217064.95143796984,210809.14868209587,202758.1179854333,205136.2445699229,189574.86315466932,196057.42278223287,210712.0579199343,218366.562592724,194542.176599686,194935.98704021744,194082.83028742115,201874.2531015725,198590.0958780457,202564.7164601771,190911.12356821352,216215.75710970623,198528.7042158268,211478.35775341463,180395.5489026884,190246.9124877872,215979.39605698668,206643.0519924404,184073.59569925533,198687.2075937192,181003.4900061724,192815.2894244248,182388.51619179352,192268.23234147052,186143.82852775624,193334.12005550836,203945.40410589403,218602.98590928185
2025-02-28,192564.1538895533,187832.5195408935,195188.93339842808,213708.6375705592,207492.53980765317,176675.82992407007,204999.19552322663,186998.30698302967,206475.0210422024,214406.5772716436,201108.30176259272,184944.73890772884,205599.5113911244,192209.5475897884,187109.1200325621,193320.7221595035,349148.5303131812,204749.47667532827,225663.68776806767,204485.46523934128,206526.92690079944,224325.47122442268,222554.73855009268,204382.2099286418,207116.1483833317,199036.7020324702,152764.3586905654,201568.349,217064.95143796984,210809.14868209587,202758.1179854333,205136.2445699229,189232.470351668,196057.42278223287,210712.0579199343,218366.562592724,194542.176599686,194935.98704021744,194082.83028742115,201874.2531015725,198000.0815717973,202564.7164601771,190911.12356821352,216215.75710970623,198528.7042158268,211305.93332292145,181457.60977199383,190246.9124877872,215979.39605698668,206643.0519924404,184073.59569925533,198845.7446720217,182139.27747674895,192815.2894244248,182384.06227022456,191823.57184032336,186143.82852775624,193579.2350244801,203945.40410589403,218602.98590928185
2025-03-03,194021.28025825,187832.5195408935,195188.93339842808,213708.6375705592,207492.53980765317,175022.2939081789,204999.19552322663,186998.30698302967,204411.7371775976,214406.5772716436,201108.30176259272,185317.7403128811,205599.5113911244,192209.5475897884,187109.1200325621,193320.7221595035,349148.5303131812,204749.47667532827,225663.68776806767,205811.3238891822,206526.92690079944,224943.53992309608,222554.73855009268,204382.2099286418,207116.1483833317,199036.7020324702,152764.3586905654,201568.349,217064.95143796984,210809.14868209587,202758.1179854333,205177.8767187524,189232.470351668,196057.42278223287,210712.0579199343,218366.562592724,194542.176599686,195780.7638613495,194082.83028742115,201874.2531015725,198000.0815717973,202564.7164601771,190911.12356821352,216215.75710970623,198528.7042158268,211305.93332292145,181224.22935377128,190246.9124877872,218738.23877246783,206643.0519924404,184073.59569925533,198845.7446720217,182139.27747674895,192815.2894244248,182384.06227022456,191823.57184032336,186143.82852775624,193579.2350244801,203945.40410589403,218602.98590928185
2025-03-04,194021.28025825,187832.5195408935,195188.93339842808,213708.6375705592,207492.53980765317,175022.2939081789,205862.90431127956,186998.30698302967,204369.82089979367,214406.5772716436,201108.30176259272,185048.65078126529,205599.5113911244,192209.5475897884,187109.1200325621,193320.7221595035,349148.5303131812,204749.47667532827,225663.68776806767,205811.3238891822,206526.92690079944,225324.15577906577,222554.73855009268,205049.05721305724,207116.1483833317,199036.7020324702,152764.3586905654,201568.349,217993.44855921567,211928.34558662964,203841.65669001912,205219.47410169552,189232.470351668,196057.42278223287,210712.0579199343,218366.562592724,194542.176599686,195780.7638613495,194082.83028742115,201311.41855157277,198000.0815717973,202564.7164601771,190911.12356821352,216215.75710970623,198528.7042158268,211305.93332292145,181224.22935377128,190246.9124877872,218738.23877246783,206643.0519924404,184073.59569925533,198845.7446720217,182139.27747674895,192815.2894244248,182384.06227022456,191823.57184032336,186143.82852775624,193579.2350244801,203945.40410589403,218602.98590928185
2025-03-05,194021.28025825,187832.5195408935,195188.93339842808,215465.70793667552,207492.53980765317,175691.5812451518,205862.90431127956,186998.30698302967,204369.82089979367,214406.5772716436,201108.30176259272,185387.08576955565,205599.5113911244,192209.5475897884,187109.1200325621,193320.7221595035,349148.5303131812,204749.47667532827,225663.68776806767,206382.5829410778,206526.92690079944,225846.6313633993,222554.73855009268,205049.05721305724,207116.1483833317,199036.7020324702,152764.3586905654,201568.349,217993.44855921567,215346.1957445189,203841.65669001912,205219.47410169552,189232.470351668,196057.42278223287,210712.0579199343,220119.4214028679,194542.176599686,196237.57017675,194082.83028742115,201311.41855157277,198424.75652340607,202564.7164601771,190911.12356821352,216215.75710970623,198528.7042158268,211639.53228256264,181224.22935377128,190246.9124877872,218738.23877246783,206643.0519924404,184073.59569925533,198845.7446720217,182139.27747674895,192815.2894244248,182384.06227022456,192371.2544121453,184917.05445509,193579.2350244801,203945.40410589403,218602.98590928185
2025-03-06,194021.28025825,188427.37945519327,194948.70879863572,215017.64800846291,207492.53980765317,175691.5812451518,207112.74773459943,187275.87488699643,203206.2849083512,215090.29880845093,201108.30176259272,185387.08576955565,205940.5324754618,192209.5475897884,187109.1200325621,191647.6894455437,349148.5303131812,204749.47667532827,225663.68776806767,207215.13127861157,206526.92690079944,226750.62943667787,223837.43711362855,205049.05721305724,207526.72037228805,199036.7020324702,152764.3586905654,201568.349,217993.44855921567,215844.4891866629,203841.65669001912,205219.47410169552,189232.470351668,196057.42278223287,210712.0579199343,220119.4214028679,193741.7325065628,196237.57017675,194082.83028742115,200614.55880157265,199028.5194274336,202402.85847371173,191566.00036485912,216215.75710970623,198528.7042158268,209378.6656637288,183257.67682501848,190246.9124877872,218738.23877246783,206643.0519924404,184073.59569925533,198845.7446720217,181889.2913199694,192815.2894244248,182384.06227022456,193283.64639195256,181598.37362781217,193290.46021044644,203612.48262841668,218602.98590928185
2025-03-07,194021.28025825,188571.20179113845,194517.82312886644,215017.64800846291,207492.53980765317,175691.5812451518,207112.74773459943,186046.6639976027,203389.65977926497,215090.29880845093,201108.30176259272,185387.08576955565,206022.62102967864,192209.5475897884,184737.7096229001,193114.30317569443,349148.5303131812,204749.47667532827,225663.68776806767,207215.13127861157,206526.92690079944,226750.62943667787,223837.43711362855,205049.05721305724,207526.72037228805,199036.7020324702,152764.3586905654,201568.349,217993.44855921567,215844.4891866629,203841.65669001912,205219.47410169552,186814.7295975235,196057.42278223287,210712.0579199343,220119.4214028679,194107.71748769376,195908.41106424748,194082.83028742115,200987.001524906,199028.5194274336,202402.85847371173,191566.00036485912,216215.75710970623,198528.7042158268,210317.82035431173,184511.42349865552,190246.9124877872,218738.23877246783,206643.0519924404,184073.59569925533,199264.20607032263,181889.2913199694,192815.2894244248,181659.18273459864,193283.64639195256,184045.45034553163,194111.59576753428,203612.48262841668,217869.69343986036
