date,value_A,value_AG,value_AL,value_AO,value_AP,value_AU,value_B,value_BC,value_BR,value_BU,value_C,value_CF,value_CJ,value_CS,value_CU,value_EB,value_EC,value_EG,value_FG,value_FU,value_HC,value_I,value_J,value_JD,value_JM,value_L,value_LC,value_LH,value_LU,value_M,value_MA,value_NI,value_NR,value_OI,value_P,value_PF,value_PG,value_PK,value_PP,value_PR,value_PX,value_RB,value_RM,value_RU,value_SA,value_SF,value_SH,value_SI,value_SM,value_SN,value_SP,value_SR,value_SS,value_TA,value_UR,value_V,value_Y,value_ZN
2024-05-06,992819.2943345885,1022485.5023961372,1006254.6858381452,1000092.3975034422,1022856.1546025816,1018573.5575063924,993490.328329942,1011680.4159106214,991498.931572194,1000619.5855934708,996949.6055845148,1000062.9598622927,992535.0306621328,1001501.3288982996,1014257.2009612104,999736.0280198476,1018696.3775751556,1006266.2629788092,1037772.4292790346,1015644.5011020484,1009389.7947578818,1006358.2444192016,1010195.0225469334,1002948.6561002756,983238.8607305358,996226.7476774942,986332.4347664948,988798.94416367,992735.6125382278,1000434.6048387312,1000732.695124506,1004781.9032256624,983581.0920897884,1008883.6661112788,1008010.9332426484,995445.2131782484,993461.03051719,999784.0266803314,995726.9168509668,200000.0,991296.5186432318,1011325.5877361628,991448.252727055,980433.8783695636,993026.2319026418,1001063.2092404148,1015096.0847660722,998543.7518691644,995192.5088932856,1004169.9875228791,1000119.81746921,1004489.074010706,998578.7055233552,991173.3223905883,1000089.0974265988,998573.441719068,1004566.7353749298,1005574.2294678672
2024-05-07,992819.2943345885,1022495.14074414,1006254.6858381452,1000092.3975034422,1021294.0777462432,1018573.5575063924,993490.328329942,1011680.4159106214,991498.931572194,1000619.5855934708,996564.7781993714,1000062.9598622927,992535.0306621328,998662.4104306856,1010417.3047309562,999741.0920684548,1018696.3775751556,1005794.2396577424,1038347.364253729,1015644.5011020484,1009389.7947578818,1006358.2444192016,1010195.0225469334,1006989.6007028834,983238.8607305358,996226.7476774942,986332.4347664948,985404.4491765792,992735.6125382278,1000434.6048387312,1000732.695124506,1004781.9032256624,983581.0920897884,1008883.6661112788,1008010.9332426484,995990.5708750832,993461.03051719,998578.3165756274,995726.9168509668,200000.0,991296.5186432318,1011325.5877361628,991448.252727055,980433.8783695636,994382.8668919734,1001063.2092404148,1013159.126527158,998543.7518691644,995192.5088932856,1004169.9875228791,1000119.81746921,1004489.074010706,998578.7055233552,991173.3223905883,1000089.0974265988,998573.441719068,1004566.7353749298,1005956.9872091484
2024-05-08,992822.340135655,1022495.14074414,1006254.6858381452,999148.8066524696,1020498.302743958,1018573.5575063924,993490.328329942,1011680.4159106214,991498.931572194,1000619.5855934708,996564.7781993714,1000320.7408313416,992535.0306621328,998662.4104306856,1005263.7597903508,999741.0920684548,1018696.3775751556,1006324.2379320428,1036335.0918422986,1015644.5011020484,1006462.065925018,1002632.9615496076,1003689.9909505332,1006989.6007028834,976295.6959120244,996226.7476774942,986332.4347664948,985404.4491765792,992735.6125382278,1000434.6048387312,1000732.695124506,1004781.9032256624,983581.0920897884,1008883.6661112788,1008010.9332426484,996182.722327781,992345.3653265648,999687.5698719549,995726.9168509668,200000.0,991296.5186432318,1008683.4917116096,991448.252727055,980433.8783695636,994382.8668919734,1002214.8224825198,1006169.6025275196,998543.7518691644,995192.5088932856,1004169.9875228791,1000119.81746921,1004489.074010706,998578.7055233552,991173.3223905883,1000089.0974265988,998573.441719068,1004637.4813157304,1006821.4074818932
2024-05-09,992447.08230983,1022495.14074414,1006254.6858381452,1005119.68440432,1021647.755525037,1018573.5575063924,992992.3071870388,1011680.4159106214,991498.931572194,1000619.5855934708,996564.7781993714,1004828.7369110982,992535.0306621328,998662.4104306856,1005920.5841455256,999741.0920684548,1018696.3775751556,1006324.2379320428,1039640.9679467912,1016463.1248135231,1006462.065925018,1004900.611490824,1002371.533304996,1006989.6007028834,976295.6959120244,996226.7476774942,986332.4347664948,985404.4491765792,992950.6635117132,1001058.9321386988,1000732.695124506,1004781.9032256624,983581.0920897884,1008892.1068179514,1008010.9332426484,996182.722327781,994234.22232355,1000560.0795778036,995726.9168509668,200000.0,991296.5186432318,1007624.4608065364,991717.8083323428,980433.8783695636,994382.8668919734,1005914.2287647997,1006169.6025275196,998543.7518691644,995192.5088932856,1004169.9875228791,1000119.81746921,1004489.074010706,998578.7055233552,991173.3223905883,1000089.0974265988,998573.441719068,1002264.2334243802,1007580.753279847
2024-05-10,992447.08230983,1022495.14074414,1006254.6858381452,1005943.2537494026,1021235.131449778,1018573.5575063924,989748.1339574796,1011680.4159106214,991498.931572194,1000619.5855934708,996564.7781993714,1007044.5315943684,992535.0306621328,998662.4104306856,1008214.3057387088,999741.0920684548,1018696.3775751556,1006324.2379320428,1042325.0518761522,1015049.0970438792,1006462.065925018,1004900.611490824,1002371.533304996,1006989.6007028834,976295.6959120244,996226.7476774942,986332.4347664948,985404.4491765792,990401.0632937663,997781.6871936972,1000732.695124506,1004781.9032256624,983581.0920897884,1006737.294757101,1008010.9332426484,996182.722327781,993584.927730837,1000560.0795778036,995726.9168509668,200000.0,991296.5186432318,1007624.4608065364,988960.8106160784,980433.8783695636,994382.8668919734,1005556.2217052236,1006169.6025275196,998543.7518691644,995192.5088932856,1004169.9875228791,1000119.81746921,1004489.074010706,998490.7722708426,991173.3223905883,999368.2768551848,997522.021998828,1001120.0848275506,1012611.4191912864
2024-05-13,992447.08230983,1022495.14074414,1006254.6858381452,1004175.256257846,1020851.9805227516,1018573.5575063924,992089.0279795156,1011680.4159106214,991498.931572194,1000619.5855934708,996564.7781993714,1007808.5987265308,992535.0306621328,998662.4104306856,1008214.3057387088,999741.0920684548,1018696.3775751556,1006324.2379320428,1042325.0518761522,1019926.2386679996,1006462.065925018,1004900.611490824,1002371.533304996,1006989.6007028834,976295.6959120244,996226.7476774942,986332.4347664948,985404.4491765792,992489.258717985,999966.517157032,1000732.695124506,1004781.9032256624,983581.0920897884,1009023.6303895396,1008010.9332426484,996182.722327781,996601.7865157096,1000560.0795778036,994956.4045723276,200000.0,991296.5186432318,1007624.4608065364,990457.4665191934,980433.8783695636,994382.8668919734,1006945.3129635134,1006169.6025275196,998543.7518691644,995192.5088932856,1004169.9875228791,1000119.81746921,1004489.074010706,998490.7722708426,991173.3223905883,1003934.367595445,999476.4089055771,1001120.0848275506,1010336.2673114592
2024-05-14,991173.7293657672,1022495.14074414,1006254.6858381452,1004175.256257846,1020468.8295957254,1018573.5575063924,992089.0279795156,1011680.4159106214,991498.931572194,1000619.5855934708,996564.7781993714,1007732.1920133143,992535.0306621328,998662.4104306856,1008214.3057387088,999741.0920684548,1023465.9099254804,1004232.4508506262,1040985.855839596,1019926.2386679996,1006462.065925018,1004900.611490824,1002371.533304996,1006989.6007028834,976295.6959120244,996226.7476774942,986332.4347664948,985404.4491765792,992489.258717985,998752.7227329572,1000732.695124506,1004781.9032256624,983581.0920897884,1009023.6303895396,1008010.9332426484,996182.722327781,996601.7865157096,1000560.0795778036,994956.4045723276,200000.0,991296.5186432318,1007624.4608065364,990536.2378825144,980433.8783695636,994382.8668919734,1007917.3379309668,1006169.6025275196,998543.7518691644,990598.0622315304,1004169.9875228791,1000119.81746921,1004489.074010706,998490.7722708426,991173.3223905883,1004378.4830679988,999139.445645792,1001120.0848275506,1010336.2673114592
2024-05-15,992072.3352705202,1022495.14074414,1006254.6858381452,1004175.256257846,1020793.034226286,1018573.5575063924,992089.0279795156,1011680.4159106214,991498.931572194,1000619.5855934708,996564.7781993714,1008220.8435070176,992535.0306621328,998662.4104306856,1008214.3057387088,999741.0920684548,1026913.183559341,1002979.165996752,1038497.5372691186,1019926.2386679996,1006462.065925018,1004900.611490824,1002371.533304996,1006989.6007028834,976295.6959120244,996226.7476774942,986332.4347664948,985493.628358837,992489.258717985,1000530.1183219632,1002432.5192556292,1004781.9032256624,983581.0920897884,1009023.6303895396,1008010.9332426484,996182.722327781,996601.7865157096,1000560.0795778036,994956.4045723276,200000.0,991296.5186432318,1007624.4608065364,993011.060821088,980433.8783695636,994382.8668919734,1009588.0375423178,1006169.6025275196,998543.7518691644,982929.0329900536,1004169.9875228791,1000119.81746921,1004489.074010706,998490.7722708426,991173.3223905883,1004378.4830679988,1000419.9060329732,1001120.0848275506,1010336.2673114592
2024-05-16,991981.2828448449,1022495.14074414,1006254.6858381452,1004175.256257846,1019967.786075768,1018573.5575063924,992089.0279795156,1011680.4159106214,991498.931572194,1000619.5855934708,996564.7781993714,1007639.6634836096,992535.0306621328,998662.4104306856,1008214.3057387088,998650.4817695428,1026913.183559341,1002979.165996752,1038497.5372691186,1020315.1700800138,1005444.6611840492,1004900.611490824,999044.6282128422,1006989.6007028834,971732.142836746,996226.7476774942,986332.4347664948,986000.7609206684,992489.258717985,1000530.1183219632,1003894.3642111076,1004781.9032256624,983581.0920897884,1009023.6303895396,1008010.9332426484,996182.722327781,996601.7865157096,1000560.0795778036,994956.4045723276,200000.0,991296.5186432318,1006582.3293307994,993011.060821088,980433.8783695636,992604.4055760532,1009664.483983106,1006169.6025275196,998543.7518691644,984524.8151725916,1004169.9875228791,1000119.81746921,1004489.074010706,998490.7722708426,991173.3223905883,1004378.4830679988,1001060.1362265638,1001120.0848275506,1010336.2673114592
2024-05-17,991981.2828448449,1022495.14074414,1006254.6858381452,1004175.256257846,1017993.0851441716,1018573.5575063924,992089.0279795156,1011680.4159106214,991498.931572194,1000298.446067472,996436.7027279373,1007028.4097778798,992535.0306621328,998662.4104306856,1008214.3057387088,997913.64930023,1035342.7965734296,1002979.165996752,1038497.5372691186,1018163.3886914244,1005444.6611840492,1004900.611490824,995134.3015385858,1006989.6007028834,971116.1383241344,996226.7476774942,985712.1931416802,986000.7609206684,992489.258717985,1000530.1183219632,1003894.3642111076,1004781.9032256624,983581.0920897884,1009023.6303895396,1008010.9332426484,996182.722327781,996601.7865157096,1000560.0795778036,994956.4045723276,200000.0,991296.5186432318,1006582.3293307994,993011.060821088,980433.8783695636,992604.4055760532,1009664.483983106,1006169.6025275196,998079.2889533764,984524.8151725916,1004169.9875228791,1000119.81746921,1004489.074010706,998490.7722708426,991173.3223905883,1004378.4830679988,1006342.0555414788,1001120.0848275506,1010336.2673114592
2024-05-20,991981.2828448449,1022495.14074414,1006254.6858381452,1004175.256257846,1015826.2192860972,1018573.5575063924,992089.0279795156,1011680.4159106214,991498.931572194,998128.4269660248,997039.1674103632,1005805.90236642,992535.0306621328,998662.4104306856,1008214.3057387088,997157.462698056,1037395.4115520638,1002979.165996752,1038497.5372691186,1016399.8501448052,1005444.6611840492,1004900.611490824,995134.3015385858,1006989.6007028834,968125.2037025868,996226.7476774942,986741.20335834,986019.9095683352,991136.514472378,1000530.1183219632,1003894.3642111076,1004781.9032256624,983581.0920897884,1009023.6303895396,1008010.9332426484,996182.722327781,996601.7865157096,1000560.0795778036,994956.4045723276,200000.0,991296.5186432318,1006582.3293307994,993011.060821088,980433.8783695636,992604.4055760532,1009664.483983106,1006169.6025275196,995642.067914022,984524.8151725916,1004169.9875228791,1000119.81746921,1003555.9101059848,998490.7722708426,991173.3223905883,1004378.4830679988,1006342.0555414788,1001120.0848275506,1010336.2673114592
2024-05-21,991981.2828448449,1022495.14074414,1006254.6858381452,1004175.256257846,1015826.2192860972,1018573.5575063924,992089.0279795156,1011680.4159106214,991498.931572194,998128.4269660248,996524.0495469728,1005500.2755135554,992535.0306621328,998908.6352765136,1008214.3057387088,997157.462698056,1037395.4115520638,1002616.9772577948,1038497.5372691186,1016399.8501448052,1005444.6611840492,1004900.611490824,995134.3015385858,1006989.6007028834,968125.2037025868,995874.7676160382,979716.9280835898,987901.3269155328,993289.3614682936,1000530.1183219632,1002824.1145350124,1004781.9032256624,983581.0920897884,1009023.6303895396,1008010.9332426484,996182.722327781,996601.7865157096,1000560.0795778036,995532.0464245088,200000.0,991296.5186432318,1006582.3293307994,993011.060821088,980433.8783695636,992604.4055760532,1009322.4440383876,1006169.6025275196,995642.067914022,984524.8151725916,1011624.4330115798,1000119.81746921,1003075.1494112896,998490.7722708426,991173.3223905883,1004378.4830679988,1008523.892648582,1001120.0848275506,1010336.2673114592
2024-05-22,991981.2828448449,1022495.14074414,1006254.6858381452,1004175.256257846,1015826.2192860972,1018573.5575063924,992089.0279795156,1012356.756070494,993020.0268123162,998128.4269660248,996911.1777919062,1004889.0218078258,992535.0306621328,999699.1995801058,1010041.5974499892,996531.1419797122,1037395.4115520638,1002459.6361507736,1038497.5372691186,1016399.8501448052,1005444.6611840492,1004900.611490824,995134.3015385858,1006989.6007028834,968125.2037025868,996400.8891086136,979716.9280835898,990270.5191305232,993289.3614682936,1000530.1183219632,1002665.8942201098,1004781.9032256624,983581.0920897884,1009023.6303895396,1008010.9332426484,996182.722327781,996601.7865157096,1000560.0795778036,995680.0567742408,200000.0,992484.0351173676,1006582.3293307994,993011.060821088,980433.8783695636,992604.4055760532,1009203.1083518626,1006169.6025275196,995642.067914022,984524.8151725916,1013615.1807037628,1000119.81746921,1003666.8548816828,998490.7722708426,991347.6344758944,1004378.4830679988,1010300.5651321206,1001120.0848275506,1010336.2673114592
2024-05-23,991981.2828448449,1015984.2257173152,1006254.6858381452,1002023.4754514816,1015826.2192860972,1009953.242388674,992089.0279795156,997680.587745438,991830.3699687978,998128.4269660248,996911.1777919062,1002549.371842432,992535.0306621328,999052.3742408032,994277.7943070814,995385.9673252988,1042034.9827348264,1001620.4835799888,1038497.5372691186,1015577.6237364912,1005444.6611840492,1005259.8987221982,995134.3015385858,1006989.6007028834,968125.2037025868,994511.6346580008,979716.9280835898,989541.2538938991,993289.3614682936,1000530.1183219632,999817.9285518648,997753.8443601492,983581.0920897884,1010539.1774346008,1008010.9332426484,995207.1710976684,992498.7119333324,1000560.0795778036,993430.2994583022,200000.0,992553.57888046,1007544.84782701,993011.060821088,982931.4988049988,995591.6063920964,1003432.5238278208,1002689.7041335554,995642.067914022,984524.8151725916,1013615.1807037628,996550.799352815,1005737.8240280612,998490.7722708426,990484.5474530956,1006182.4580836956,1012775.8972384966,1002579.041862963,1009721.9632826257
2024-05-24,991981.2828448449,1017063.2116590032,1006254.6858381452,1003474.9340652556,1015826.2192860972,1009953.242388674,991996.305453398,1002580.6286275614,994878.865630313,998128.4269660248,996783.0164674948,1002549.371842432,992535.0306621328,997902.4625264872,998709.790078889,996196.9036705768,1048121.7351231584,1002045.168206656,1038497.5372691186,1015577.6237364912,1005444.6611840492,1005668.489205186,995134.3015385858,1006989.6007028834,968125.2037025868,994972.9858119176,979716.9280835898,990656.1678774249,993289.3614682936,1000365.18793562,1000529.919968926,1001029.6780800228,983581.0920897884,1012423.4189798788,1008010.9332426484,995207.1710976684,996308.3180105817,1000560.0795778036,993858.132254826,200000.0,992553.57888046,1008230.5300410286,992965.48371027,985428.0939080878,997107.2832068952,1003432.5238278208,1002689.7041335554,995642.067914022,984524.8151725916,1013615.1807037628,996550.799352815,1005618.499223638,998490.7722708426,990484.5474530956,1008222.62628679,1012775.8972384966,1003979.5243856964,1013130.397701192
2024-05-27,991514.783413154,1017063.2116590032,1006254.6858381452,1003474.9340652556,1015826.2192860972,1008618.4743020812,991793.5446265502,1002580.6286275614,994209.6836558338,998128.4269660248,995539.0239980024,1002990.1010456058,992535.0306621328,997142.8021002172,998071.2603607832,996196.9036705768,1049973.5112838352,1002045.168206656,1038497.5372691186,1015577.6237364912,1005918.26208285,1003353.143134922,996778.1144645236,1006989.6007028834,964879.9276622764,994972.9858119176,979716.9280835898,989541.2538938996,993289.3614682936,1000668.6365416386,1002033.0129604996,1001029.6780800228,983581.0920897884,1012423.4189798788,1008010.9332426484,995207.1710976684,996308.3180105817,1000560.0795778036,993858.132254826,200000.0,992553.57888046,1006753.6760416044,992098.9987137296,986699.0156407442,997107.2832068952,1003432.5238278208,1002689.7041335554,995642.067914022,984524.8151725916,1013615.1807037628,996550.799352815,1005618.499223638,998490.7722708426,990484.5474530956,1007445.4193522776,1012775.8972384966,1003875.5992816936,1012657.62891159
2024-05-28,991514.783413154,1017063.2116590032,1006254.6858381452,1003474.9340652556,1015826.2192860972,1004370.6774366478,992714.4843020916,1002580.6286275614,996440.2902374292,998128.4269660248,995539.0239980024,1002990.1010456058,992535.0306621328,997142.8021002172,998071.2603607832,996196.9036705768,1049973.5112838352,1002045.168206656,1038337.2741449232,1015577.6237364912,1006750.8954363744,998674.373514228,1001440.2597655448,1006989.6007028834,964879.9276622764,994972.9858119176,979716.9280835898,987818.5863615308,991885.7834970824,998665.8757419148,1001795.682488146,1001029.6780800228,983581.0920897884,1012423.4189798788,1008010.9332426484,995207.1710976684,996308.3180105817,1000560.0795778036,993858.132254826,200000.0,992454.7647450324,1005804.2698991172,990163.4602827312,987746.5486609822,995508.9236742392,1003432.5238278208,1002689.7041335554,995180.185378972,984524.8151725916,1013615.1807037628,996550.799352815,1005618.499223638,998490.7722708426,990007.8678841032,1008374.2204993668,1011586.8078088388,1008274.7904949288,1012657.62891159
2024-05-29,991514.783413154,1017063.2116590032,1006254.6858381452,1003474.9340652556,1015826.2192860972,1004370.6774366478,992714.4843020916,1002580.6286275614,998183.0929010524,998128.4269660248,995539.0239980024,1002990.1010456058,992535.0306621328,997142.8021002172,998071.2603607832,996196.9036705768,1056568.658764996,1004462.4625702793,1046003.0738075156,1015577.6237364912,1006750.8954363744,998674.373514228,1005778.7534385592,1006989.6007028834,964879.9276622764,994972.9858119176,979716.9280835898,987818.5863615308,988746.6073583892,997530.4924376352,1002428.5637477558,1001029.6780800228,983581.0920897884,1012423.4189798788,1008010.9332426484,995207.1710976684,996308.3180105817,1000560.0795778036,993858.132254826,200000.0,993732.9469430844,1006331.7177560548,990163.4602827312,987746.5486609822,1000872.3140353784,1003432.5238278208,1002689.7041335554,991902.0978342596,984524.8151725916,1013615.1807037628,996550.799352815,1005618.499223638,1000530.4098529248,991309.2438838998,1008374.2204993668,1011644.6913576048,1009490.356488059,1012657.62891159
2024-05-30,991514.783413154,1017063.2116590032,1006254.6858381452,1003474.9340652556,1015826.2192860972,1004370.6774366478,992714.4843020916,1002580.6286275614,998183.0929010524,998128.4269660248,995539.0239980024,1002990.1010456058,992535.0306621328,997142.8021002172,998071.2603607832,996196.9036705768,1049137.2983539947,1005882.476550561,1046200.587926947,1015577.6237364912,1006750.8954363744,998674.373514228,1003186.2389266352,1006989.6007028834,964879.9276622764,994972.9858119176,979716.9280835898,987818.5863615308,991318.9424617188,997530.4924376352,1004680.7666422668,1001029.6780800228,983581.0920897884,1010706.5386090646,1008228.124511115,995207.1710976684,996308.3180105817,1000560.0795778036,993858.132254826,200000.0,996502.3417055272,1007188.6095444352,990163.4602827312,987746.5486609822,1001608.7075319628,1003432.5238278208,1002689.7041335554,995435.404982375,984524.8151725916,1013615.1807037628,996550.799352815,1005618.499223638,999294.9584653196,991483.035418806,1008374.2204993668,1011644.6913576048,1006248.8471730445,1012326.7078010408
